Sales Month,Primary Platform (Original),Secondary Platform,Store Name,Brand Name,Product Code,Sales Amount,Sales Quantity,Primary Platform
2021-01,天猫,天猫超市,牛栏山天猫超市,牛栏山,537539840297,24075.0,24,Tmall
2021-03,天猫,天猫超市,牛栏山天猫超市,牛栏山,537539840297,17541.0,19,Tmall
2021-03,天猫,天猫超市,红星天猫超市,红星,626618481263,21625.0,27,Tmall
2021-01,天猫,天猫超市,红星天猫超市,红星,626618481263,19876.0,25,Tmall
2021-01,天猫,天猫超市,茅台天猫超市,茅台,633811123117,40594.0,8,Tmall
2021-02,天猫,天猫超市,五粮液天猫超市,五粮液,630063643605,19400.0,43,Tmall
2021-01,天猫,天猫超市,五粮液天猫超市,五粮液,630063643605,19253.0,37,Tmall
2021-03,天猫,天猫超市,五粮液天猫超市,五粮液,630063643605,1907.0,4,Tmall
2021-01,天猫,天猫超市,红星天猫超市,红星,523758348842,28306.0,129,Tmall
2021-02,天猫,天猫超市,红星天猫超市,红星,523758348842,9498.0,41,Tmall
2021-03,天猫,天猫超市,红星天猫超市,红星,523758348842,2696.0,10,Tmall
2021-01,天猫,天猫超市,劲酒天猫超市,劲酒,627737041702,17825.0,75,Tmall
2021-02,天猫,天猫超市,劲酒天猫超市,劲酒,627737041702,16247.0,69,Tmall
2021-03,天猫,天猫超市,劲酒天猫超市,劲酒,627737041702,6295.0,27,Tmall
2021-02,天猫,天猫超市,洋河天猫超市,洋河,608651843172,16801.0,167,Tmall
2021-03,天猫,天猫超市,洋河天猫超市,洋河,608651843172,13342.0,134,Tmall
2021-01,天猫,天猫超市,洋河天猫超市,洋河,608651843172,10211.0,94,Tmall
2021-01,天猫,天猫超市,剑南春天猫超市,剑南春,623945981539,16465.0,72,Tmall
2021-03,天猫,天猫超市,剑南春天猫超市,剑南春,623945981539,13975.0,65,Tmall
2021-02,天猫,天猫超市,剑南春天猫超市,剑南春,623945981539,9867.0,43,Tmall
2021-03,天猫,天猫超市,洋河天猫超市,洋河,582550481526,36849.0,487,Tmall
2021-01,天猫,天猫超市,洋河天猫超市,洋河,582550481526,2197.0,30,Tmall
2021-03,天猫,天猫超市,五粮液天猫超市,五粮液,607512078270,26596.0,35,Tmall
2021-01,天猫,天猫超市,五粮液天猫超市,五粮液,607512078270,12141.0,16,Tmall
2021-02,天猫,天猫超市,西凤天猫超市,西凤,606774251862,21454.0,76,Tmall
2021-01,天猫,天猫超市,西凤天猫超市,西凤,606774251862,15241.0,58,Tmall
2021-03,天猫,天猫超市,西凤天猫超市,西凤,606774251862,2009.0,5,Tmall
2021-01,天猫,天猫超市,洋河天猫超市,洋河,622419664529,22441.0,56,Tmall
2021-02,天猫,天猫超市,洋河天猫超市,洋河,622419664529,10737.0,26,Tmall
2021-03,天猫,天猫超市,洋河天猫超市,洋河,622419664529,4257.0,11,Tmall
2021-02,天猫,天猫超市,古井贡天猫超市,古井贡,551901847550,25895.0,237,Tmall
2021-01,天猫,天猫超市,古井贡天猫超市,古井贡,551901847550,6840.0,61,Tmall
2021-03,天猫,天猫超市,古井贡天猫超市,古井贡,551901847550,3945.0,36,Tmall
2021-02,天猫,天猫超市,牛栏山天猫超市,牛栏山,525967673633,32009.0,242,Tmall
2021-03,天猫,天猫超市,牛栏山天猫超市,牛栏山,525967673633,4068.0,31,Tmall
2021-01,天猫,天猫超市,洋河天猫超市,洋河,564507466131,26292.0,526,Tmall
2021-02,天猫,天猫超市,洋河天猫超市,洋河,564507466131,7501.0,145,Tmall
2021-03,天猫,天猫超市,洋河天猫超市,洋河,564507466131,1504.0,25,Tmall
2021-01,天猫,天猫超市,洋河天猫超市,洋河,627688535165,18998.0,76,Tmall
2021-02,天猫,天猫超市,洋河天猫超市,洋河,627688535165,13912.0,55,Tmall
2021-03,天猫,天猫超市,洋河天猫超市,洋河,627688535165,1897.0,8,Tmall
2021-01,天猫,天猫超市,古井贡天猫超市,古井贡,632915677352,16112.0,35,Tmall
2021-02,天猫,天猫超市,古井贡天猫超市,古井贡,632915677352,14084.0,31,Tmall
2021-03,天猫,天猫超市,古井贡天猫超市,古井贡,632915677352,4373.0,11,Tmall
2021-01,天猫,天猫超市,茅台天猫超市,茅台,626725438719,33878.0,114,Tmall
2021-01,天猫,天猫超市,茅台天猫超市,茅台,626809079366,21633.0,24,Tmall
2021-02,天猫,天猫超市,茅台天猫超市,茅台,626809079366,11956.0,13,Tmall
2021-01,天猫,天猫超市,牛栏山天猫超市,牛栏山,569204035435,21176.0,131,Tmall
2021-02,天猫,天猫超市,牛栏山天猫超市,牛栏山,569204035435,8388.0,54,Tmall
2021-03,天猫,天猫超市,牛栏山天猫超市,牛栏山,569204035435,3918.0,22,Tmall
2021-02,天猫,天猫超市,五粮液天猫超市,五粮液,602171229867,21196.0,35,Tmall
2021-03,天猫,天猫超市,五粮液天猫超市,五粮液,602171229867,12065.0,20,Tmall
2021-01,天猫,天猫超市,牛栏山天猫超市,牛栏山,631349768579,18647.0,57,Tmall
2021-02,天猫,天猫超市,牛栏山天猫超市,牛栏山,631349768579,12361.0,39,Tmall
2021-03,天猫,天猫超市,牛栏山天猫超市,牛栏山,631349768579,1505.0,5,Tmall
2021-01,天猫,天猫超市,洋河天猫超市,洋河,25707320337,30174.0,42,Tmall
2021-03,天猫,天猫超市,洋河天猫超市,洋河,25707320337,1322.0,2,Tmall
2021-02,天猫,天猫超市,洋河天猫超市,洋河,25707320337,688.0,1,Tmall
2021-01,天猫,天猫超市,茅台天猫超市,茅台,634013542821,31605.0,5,Tmall
2021-01,天猫,天猫超市,西凤天猫超市,西凤,610011270761,31438.0,12,Tmall
2021-02,天猫,天猫超市,茅台天猫超市,茅台,600338140284,24487.0,42,Tmall
2021-03,天猫,天猫超市,茅台天猫超市,茅台,600338140284,6014.0,10,Tmall
2021-02,天猫,天猫超市,洋河天猫超市,洋河,636453962880,14357.0,107,Tmall
2021-01,天猫,天猫超市,洋河天猫超市,洋河,636453962880,10046.0,66,Tmall
